Text
on 28-09-2017 Stock Opend at 276. The maximum value of stock on this day was 278. The minimum value of stock on this day was 269
on 29-09-2017 Stock Opend at 277. The maximum value of stock on this day was 282. The minimum value of stock on this day was 276
on 03-10-2017 Stock Opend at 280. The maximum value of stock on this day was 281. The minimum value of stock on this day was 275
on 04-10-2017 Stock Opend at 279. The maximum value of stock on this day was 279. The minimum value of stock on this day was 275
on 05-10-2017 Stock Opend at 276. The maximum value of stock on this day was 277. The minimum value of stock on this day was 271
on 06-10-2017 Stock Opend at 272. The maximum value of stock on this day was 274. The minimum value of stock on this day was 271
on 09-10-2017 Stock Opend at 273. The maximum value of stock on this day was 276. The minimum value of stock on this day was 271
on 10-10-2017 Stock Opend at 272. The maximum value of stock on this day was 273. The minimum value of stock on this day was 269
on 11-10-2017 Stock Opend at 271. The maximum value of stock on this day was 272. The minimum value of stock on this day was 266
on 12-10-2017 Stock Opend at 268. The maximum value of stock on this day was 268. The minimum value of stock on this day was 264
on 13-10-2017 Stock Opend at 268. The maximum value of stock on this day was 275. The minimum value of stock on this day was 268
on 16-10-2017 Stock Opend at 275. The maximum value of stock on this day was 276. The minimum value of stock on this day was 270
on 17-10-2017 Stock Opend at 275. The maximum value of stock on this day was 277. The minimum value of stock on this day was 273
on 18-10-2017 Stock Opend at 268. The maximum value of stock on this day was 268. The minimum value of stock on this day was 262
on 19-10-2017 Stock Opend at 260. The maximum value of stock on this day was 261. The minimum value of stock on this day was 257
on 23-10-2017 Stock Opend at 258. The maximum value of stock on this day was 264. The minimum value of stock on this day was 257
on 24-10-2017 Stock Opend at 263. The maximum value of stock on this day was 268. The minimum value of stock on this day was 255
on 25-10-2017 Stock Opend at 293. The maximum value of stock on this day was 311. The minimum value of stock on this day was 284
on 26-10-2017 Stock Opend at 300. The maximum value of stock on this day was 315. The minimum value of stock on this day was 295
on 27-10-2017 Stock Opend at 292. The maximum value of stock on this day was 305. The minimum value of stock on this day was 286
on 30-10-2017 Stock Opend at 299. The maximum value of stock on this day was 308. The minimum value of stock on this day was 295
on 31-10-2017 Stock Opend at 300. The maximum value of stock on this day was 303. The minimum value of stock on this day was 298
on 01-11-2017 Stock Opend at 303. The maximum value of stock on this day was 319. The minimum value of stock on this day was 302
on 02-11-2017 Stock Opend at 313. The maximum value of stock on this day was 320. The minimum value of stock on this day was 311
on 03-11-2017 Stock Opend at 318. The maximum value of stock on this day was 319. The minimum value of stock on this day was 314
on 06-11-2017 Stock Opend at 315. The maximum value of stock on this day was 320. The minimum value of stock on this day was 312
on 07-11-2017 Stock Opend at 317. The maximum value of stock on this day was 318. The minimum value of stock on this day was 309
on 08-11-2017 Stock Opend at 312. The maximum value of stock on this day was 314. The minimum value of stock on this day was 304
on 09-11-2017 Stock Opend at 307. The maximum value of stock on this day was 315. The minimum value of stock on this day was 307
on 10-11-2017 Stock Opend at 313. The maximum value of stock on this day was 324. The minimum value of stock on this day was 311
on 13-11-2017 Stock Opend at 317. The maximum value of stock on this day was 322. The minimum value of stock on this day was 313
on 14-11-2017 Stock Opend at 313. The maximum value of stock on this day was 317. The minimum value of stock on this day was 310
on 15-11-2017 Stock Opend at 313. The maximum value of stock on this day was 320. The minimum value of stock on this day was 313
on 16-11-2017 Stock Opend at 316. The maximum value of stock on this day was 320. The minimum value of stock on this day was 316
on 17-11-2017 Stock Opend at 324. The maximum value of stock on this day was 332. The minimum value of stock on this day was 324
on 20-11-2017 Stock Opend at 323. The maximum value of stock on this day was 324. The minimum value of stock on this day was 317
on 21-11-2017 Stock Opend at 319. The maximum value of stock on this day was 322. The minimum value of stock on this day was 318
on 22-11-2017 Stock Opend at 319. The maximum value of stock on this day was 322. The minimum value of stock on this day was 318
on 23-11-2017 Stock Opend at 320. The maximum value of stock on this day was 321. The minimum value of stock on this day was 315
on 24-11-2017 Stock Opend at 320. The maximum value of stock on this day was 321. The minimum value of stock on this day was 316
on 27-11-2017 Stock Opend at 315. The maximum value of stock on this day was 319. The minimum value of stock on this day was 314
on 28-11-2017 Stock Opend at 313. The maximum value of stock on this day was 315. The minimum value of stock on this day was 312
on 29-11-2017 Stock Opend at 313. The maximum value of stock on this day was 316. The minimum value of stock on this day was 312
on 30-11-2017 Stock Opend at 315. The maximum value of stock on this day was 316. The minimum value of stock on this day was 306
on 01-12-2017 Stock Opend at 310. The maximum value of stock on this day was 310. The minimum value of stock on this day was 304
on 04-12-2017 Stock Opend at 307. The maximum value of stock on this day was 308. The minimum value of stock on this day was 302
on 05-12-2017 Stock Opend at 305. The maximum value of stock on this day was 308. The minimum value of stock on this day was 304
on 06-12-2017 Stock Opend at 304. The maximum value of stock on this day was 305. The minimum value of stock on this day was 298
on 07-12-2017 Stock Opend at 302. The maximum value of stock on this day was 307. The minimum value of stock on this day was 300
on 08-12-2017 Stock Opend at 307. The maximum value of stock on this day was 312. The minimum value of stock on this day was 307
on 11-12-2017 Stock Opend at 311. The maximum value of stock on this day was 312. The minimum value of stock on this day was 308
on 12-12-2017 Stock Opend at 312. The maximum value of stock on this day was 312. The minimum value of stock on this day was 306
on 13-12-2017 Stock Opend at 308. The maximum value of stock on this day was 308. The minimum value of stock on this day was 300
on 14-12-2017 Stock Opend at 304. The maximum value of stock on this day was 306. The minimum value of stock on this day was 301
on 15-12-2017 Stock Opend at 310. The maximum value of stock on this day was 311. The minimum value of stock on this day was 303
on 18-12-2017 Stock Opend at 298. The maximum value of stock on this day was 312. The minimum value of stock on this day was 287
on 19-12-2017 Stock Opend at 309. The maximum value of stock on this day was 315. The minimum value of stock on this day was 309
on 20-12-2017 Stock Opend at 314. The maximum value of stock on this day was 318. The minimum value of stock on this day was 312
on 21-12-2017 Stock Opend at 315. The maximum value of stock on this day was 317. The minimum value of stock on this day was 312
on 22-12-2017 Stock Opend at 315. The maximum value of stock on this day was 319. The minimum value of stock on this day was 314
on 26-12-2017 Stock Opend at 316. The maximum value of stock on this day was 319. The minimum value of stock on this day was 313
on 27-12-2017 Stock Opend at 316. The maximum value of stock on this day was 318. The minimum value of stock on this day was 312
on 28-12-2017 Stock Opend at 313. The maximum value of stock on this day was 319. The minimum value of stock on this day was 311
on 29-12-2017 Stock Opend at 314. The maximum value of stock on this day was 316. The minimum value of stock on this day was 313
on 01-01-2018 Stock Opend at 314. The maximum value of stock on this day was 314. The minimum value of stock on this day was 309
on 02-01-2018 Stock Opend at 311. The maximum value of stock on this day was 312. The minimum value of stock on this day was 308
on 03-01-2018 Stock Opend at 313. The maximum value of stock on this day was 316. The minimum value of stock on this day was 313
on 04-01-2018 Stock Opend at 315. The maximum value of stock on this day was 316. The minimum value of stock on this day was 312
on 05-01-2018 Stock Opend at 314. The maximum value of stock on this day was 315. The minimum value of stock on this day was 312
on 08-01-2018 Stock Opend at 314. The maximum value of stock on this day was 318. The minimum value of stock on this day was 313
on 09-01-2018 Stock Opend at 315. The maximum value of stock on this day was 316. The minimum value of stock on this day was 311
on 10-01-2018 Stock Opend at 313. The maximum value of stock on this day was 313. The minimum value of stock on this day was 311
on 11-01-2018 Stock Opend at 313. The maximum value of stock on this day was 313. The minimum value of stock on this day was 309
on 12-01-2018 Stock Opend at 310. The maximum value of stock on this day was 319. The minimum value of stock on this day was 310
on 15-01-2018 Stock Opend at 321. The maximum value of stock on this day was 331. The minimum value of stock on this day was 320
on 16-01-2018 Stock Opend at 330. The maximum value of stock on this day was 341. The minimum value of stock on this day was 327
on 17-01-2018 Stock Opend at 334. The maximum value of stock on this day was 344. The minimum value of stock on this day was 334
on 18-01-2018 Stock Opend at 350. The maximum value of stock on this day was 353. The minimum value of stock on this day was 343
on 19-01-2018 Stock Opend at 347. The maximum value of stock on this day was 355. The minimum value of stock on this day was 341
on 22-01-2018 Stock Opend at 352. The maximum value of stock on this day was 353. The minimum value of stock on this day was 345
on 23-01-2018 Stock Opend at 350. The maximum value of stock on this day was 364. The minimum value of stock on this day was 350
on 24-01-2018 Stock Opend at 358. The maximum value of stock on this day was 359. The minimum value of stock on this day was 352
on 25-01-2018 Stock Opend at 353. The maximum value of stock on this day was 365. The minimum value of stock on this day was 351
on 29-01-2018 Stock Opend at 360. The maximum value of stock on this day was 366. The minimum value of stock on this day was 356
on 30-01-2018 Stock Opend at 357. The maximum value of stock on this day was 357. The minimum value of stock on this day was 351
on 31-01-2018 Stock Opend at 349. The maximum value of stock on this day was 354. The minimum value of stock on this day was 344
on 01-02-2018 Stock Opend at 348. The maximum value of stock on this day was 356. The minimum value of stock on this day was 344
on 02-02-2018 Stock Opend at 343. The maximum value of stock on this day was 344. The minimum value of stock on this day was 334
on 05-02-2018 Stock Opend at 328. The maximum value of stock on this day was 334. The minimum value of stock on this day was 327
on 06-02-2018 Stock Opend at 315. The maximum value of stock on this day was 338. The minimum value of stock on this day was 313
on 07-02-2018 Stock Opend at 335. The maximum value of stock on this day was 336. The minimum value of stock on this day was 330
on 08-02-2018 Stock Opend at 333. The maximum value of stock on this day was 338. The minimum value of stock on this day was 330
on 09-02-2018 Stock Opend at 325. The maximum value of stock on this day was 329. The minimum value of stock on this day was 323
on 12-02-2018 Stock Opend at 329. The maximum value of stock on this day was 329. The minimum value of stock on this day was 323
on 14-02-2018 Stock Opend at 327. The maximum value of stock on this day was 327. The minimum value of stock on this day was 317
on 15-02-2018 Stock Opend at 322. The maximum value of stock on this day was 332. The minimum value of stock on this day was 322
on 16-02-2018 Stock Opend at 330. The maximum value of stock on this day was 334. The minimum value of stock on this day was 319
on 19-02-2018 Stock Opend at 330. The maximum value of stock on this day was 330. The minimum value of stock on this day was 315
on 20-02-2018 Stock Opend at 321. The maximum value of stock on this day was 324. The minimum value of stock on this day was 316
on 21-02-2018 Stock Opend at 319. The maximum value of stock on this day was 321. The minimum value of stock on this day was 316
on 22-02-2018 Stock Opend at 317. The maximum value of stock on this day was 319. The minimum value of stock on this day was 314
on 23-02-2018 Stock Opend at 319. The maximum value of stock on this day was 324. The minimum value of stock on this day was 318
on 26-02-2018 Stock Opend at 325. The maximum value of stock on this day was 328. The minimum value of stock on this day was 323
on 27-02-2018 Stock Opend at 327. The maximum value of stock on this day was 327. The minimum value of stock on this day was 320
on 28-02-2018 Stock Opend at 315. The maximum value of stock on this day was 317. The minimum value of stock on this day was 311
on 01-03-2018 Stock Opend at 313. The maximum value of stock on this day was 314. The minimum value of stock on this day was 304
on 05-03-2018 Stock Opend at 304. The maximum value of stock on this day was 307. The minimum value of stock on this day was 299
on 06-03-2018 Stock Opend at 307. The maximum value of stock on this day was 308. The minimum value of stock on this day was 294
on 07-03-2018 Stock Opend at 293. The maximum value of stock on this day was 294. The minimum value of stock on this day was 285
on 08-03-2018 Stock Opend at 290. The maximum value of stock on this day was 298. The minimum value of stock on this day was 289
on 09-03-2018 Stock Opend at 299. The maximum value of stock on this day was 300. The minimum value of stock on this day was 291
on 12-03-2018 Stock Opend at 296. The maximum value of stock on this day was 302. The minimum value of stock on this day was 294
on 13-03-2018 Stock Opend at 300. The maximum value of stock on this day was 307. The minimum value of stock on this day was 300
on 14-03-2018 Stock Opend at 303. The maximum value of stock on this day was 307. The minimum value of stock on this day was 298
on 15-03-2018 Stock Opend at 306. The maximum value of stock on this day was 306. The minimum value of stock on this day was 300
on 16-03-2018 Stock Opend at 301. The maximum value of stock on this day was 302. The minimum value of stock on this day was 297
on 19-03-2018 Stock Opend at 298. The maximum value of stock on this day was 300. The minimum value of stock on this day was 291
on 20-03-2018 Stock Opend at 293. The maximum value of stock on this day was 297. The minimum value of stock on this day was 290
on 21-03-2018 Stock Opend at 295. The maximum value of stock on this day was 295. The minimum value of stock on this day was 287
